customer_message,brand_response,human_intent,human_handling,human_notes,predicted_intent,handling_decision,handling_reason
@AmazonHelp Please could you resend the email to the address on the account. I think it got auto deleted from my junk folder. I’ve updated the address.,"@170180 Alas, we don't have access to those systems via Twitter. Please ring or chat here to request another: https://t.co/JzP7hlA23B ^JD",account_order_privacy,escalate,,account_order_privacy,escalate,Message contains sensitive or account-related keyword: 'account'
"@AmazonHelp No, can you please read my tweet. I’ve said there’s no update. Can someone please tell me where my parcel is?",@124066 Sorry for this experience. Please complete the form here: https://t.co/tkLCr7DNil and someone from our team will be in touch.^PK,delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
"@115830 4 months after purchase these “amazon basics, taotronics” earphones have packed in. Won’t take a charge or turn on. How do I exchange or get a refund on these? https://t.co/l3toAfNQO5","@591075 So sorry for the trouble, Ed! We're here to help! Just to confirm, have you had the chance to review available options here: https://t.co/2Zr2WBwaa2? ^VB",refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
@AmazonHelp my 4yo bought a bunch of shit on our #kindle that I did not authorize. How do I get that money bqck??,@277596 I'm sorry to hear about this; please contact our support team directly so we can review your order details with you: https://t.co/hApLpMlfHN ^WM,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
"@AmazonHelp the item hasn't been delivered yet- it was delayed, so I wanted it cancelled.",@219633 Is it sold directly by Amazon or by a marketplace seller? ^PK,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'cancel'
@AmazonHelp I’ve been trying for ages now I’ve even deleted my card details and re put them in???? Help??!! https://t.co/Hte6ChgCPh,"@777473 So sorry for the frustrations, Helen! Just to be clear, have you tried the steps listed at the following link to update payment? https://t.co/7JX1GPaNt2 ^MW",account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
@AmazonHelp well done amazon Prime. Promised date 17/10... today being told delivery will happen on 20/10 👏🏼amazing service 💀,@483221 Sorry to hear this. Has any reason been given for the delay? ^KM,delivery_date_confusion,auto_handle,,delivery_date_confusion,auto_handle,Common low-risk support question suitable for an initial automated response
@117634 Is there any possibility I can exchange/upgrade my recently purchased Kindle paperwhite to the newly launched Oasis?,@763640 Kindly get in touch with our kindle team here: https://t.co/tc3VJIYzxn and they'll be able to assist you accordingly. ^AU,digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@AmazonHelp i have already added the card and its not showing in the list while making payment,@510805 Please reach out to our support team here: https://t.co/vlvfJr4nN9. We will look into it.  2/2 ^SB,prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'payment'
@AmazonHelp @120533 Inadmissible... Pourquoi payer un abonnement prime pour une livraison toujours pas reçu ? Via @132988 ! https://t.co/I51CDONsua,"@330413 Bonjour, je suis désolé d'apprendre cela. Avez-vous contacté notre service client afin d'effectuer des recherches ? ^ME",prime_membership_billing,escalate,,prime_membership_billing,escalate,Message contains sensitive or account-related keyword: 'dm'
@123813 ya tienen compatibilidad con chromecast?,"@220858 Hola, ¡NO MOLESTAR! Cualquier información relacionada con el lanzamiento de una aplicación compatible con Chromecast u otro dispositivo similar será anunciada de forma oficial a través de nuestro sitio web, te recomendamos estar atento a los mismos. ^CB",general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
@115850 I wanted to ask a query regarding my refund!But your call back is simply not working and your customer service number is unresponsive!!,@443164 I understand you are unable to contact us via phone. You may connect with us using the chat or email option. ^VH,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
"@AmazonHelp is there a problem with prime video can't watch movies on LG smart TV,  says insufficient bandwidth. Works fine on my IPad and have no internet issues","@303026 Hi, sorry to hear about the issues that are occurring with your app. Are you able to uninstall and reinstall the app ? ^CR",digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@AmazonHelp I had a verified counterfeit product and I HAD to explain your A-Z guarantee policy. They were NOT going to issue refund.,@392389 Please be sure to reply to the survey sent after you called. Responses are seen by the rep and their supervisor. ^AN,refund_cancellation,escalate,,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'refund'
"@115821 @AmazonHelp @86288  Now my knife set came from an Amazon warehouse deal. It just said it would be re-packaged, not scratch/dent. I was even expecting some level of scratch/dent. Not a mangled block and missing sharpener insert. What you sent me is an absolute joke. https://t.co/TILi7PNhPV",@638016 Hi Tyler- Sorry you're unhappy with this- Have you checked out what options are available in our return support center: https://t.co/4EcwyahJ5U ^NV,delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp I order two products 7/10/2017.
Order no- 407-1429305-3674761
Order no- 407-2054464-8216339","@218635 Sorry about the order. We'd like to investigate this further, please share your details here: https://t.co/cQVomR1pWz. ^HA",account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
@115830 pre ordered darker but it wasn’t delivered the day it was released &amp; now ive been told you dont know when i will receive it &amp; it may take up to another week to get here  😡,"@818393 I'm sorry for the frustration! To clarify, what is the status shown here: https://t.co/BQmcNXViiI? ^SJ",delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp Non, ni pour la commande de replacement (mais je la vois dans mes commandes), ni pour le mois supplémentaire gratuit. Juste le récap’ tchat https://t.co/vvPi81Ih7P","@330413 Merci de patienter, si vous ne recevez pas d'email de confirmation dans la journée merci de relancer notre SAV pour vérifier.^BR",product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
@AmazonHelp Told me to wait till 20th but still unsoved?,@203470 I understand you're disappointed. Please respond to the email correspondence that was sent by the social media team for further assistance. Appreciate your understanding. ^NK,general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp Thanks. But why there are no human assistance on support team? The issue of not being able to connect to the delivery boy remains the same,",@343906 so that we can get in touch with you. (2/2) ^VM,delivery_issue,auto_handle,,delivery_issue,auto_handle,Common low-risk support question suitable for an initial automated response
@115830 i know its been black friday but it seems to take longer and longer before an item is dispatched these days,"@126810 I'm sorry for the long wait in dispatch times! We're here to help if we can. Just to clarify, do you currently have an order that is currently awaiting dispatch? ^AL",general_feedback,auto_handle,,general_feedback,auto_handle,Common low-risk support question suitable for an initial automated response
"Hi @115850, I've rcvd broken jam bottle in order#402-9826918-9096335 bcz of inappropriate packaging. The box was crushed. https://t.co/ZR0rWTLGAo",@175065 Apologies for the trouble with your order. We'll get this checked. Please report this to our support (1/2) ^HD,product_replacement,escalate,,product_replacement,escalate,product_replacement may require account verification or detailed troubleshooting
No reimbursement for apparels even when they are used by customers. Please please do something quickly. #HearUsAmazon @115850 @115851,@506248 I'm sorry for the trouble. You can create a return/replacement here:  https://t.co/3yqvLnQuoQ ^RW,refund_cancellation,auto_handle,,refund_cancellation,auto_handle,Common low-risk support question suitable for an initial automated response
"@AmazonHelp Thank you, I have sent an e-mail to you wishing to add a safe place to my order. Will I receive a refund for one day delivery also?","@707423 We don't have access to your account through social media, however, if your reach us directly via the link ^RA provided, we'll be able to look into available options for you. ^BV",delivery_date_confusion,escalate,,delivery_date_confusion,escalate,Message contains sensitive or account-related keyword: 'refund'
"@AmazonHelp Hey, I needed to send details about the cash back which I didnt get.Your exe gave my wife an email id which I have misplaced. Need that to send the files also",@665604 You may reach out to our support team using the link provided here: https://t.co/2t6DQoUmNZ. They are the right ones to assist you in this regard.^AR,account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
@123765 allowed @115833 to use alexa to post to twitter but @784 does not have similar skill for us why enable it for us,"@206110 Thousands of Indian &amp; global developers are bringing more than 10,000 skills to customers in India. We'll add them soon. ^SG",technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
"Queria um Kindle pra ler, mas a @115821 não existe em Portugal, o site .pt redireciona pra Espanha :(","@372208 Olá Ilonavarro, nuestro website Amazon.es tiene disponible los Kindle para envío a Portugal: https://t.co/YuEuLOobsc. ^DA",digital_content_support,escalate,,digital_content_support,escalate,digital_content_support may require account verification or detailed troubleshooting
@AmazonHelp Pls refer to the order no - 403-3039380-2521925.Thanks.,"@386765 Also, please don't provide your order details here. We consider it personal info. Our twitter page is visible to public. ^VN (2/2)",account_order_privacy,escalate,,account_order_privacy,escalate,account_order_privacy may require account verification or detailed troubleshooting
"@115850 Pathetic Service, you cannot do a simple exchange of ORDER # 404-5594665-1909102. You are asking to cancel the current order and pay extra for colour change","@197674 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^VN (2/2)",product_replacement,escalate,Manual review: keyword baseline predicted refund_cancellation; primary issue interpreted as product_replacement.,refund_cancellation,escalate,Message contains sensitive or account-related keyword: 'cancel'
@115833 can i use echo plus adapter or echo show adapter for my echo spot?,@381691 Hi Bilial. Please reach out - https://t.co/hApLpMlfHN a digital specialist will be happy to assist ^TP,technical_device_issue,escalate,,technical_device_issue,escalate,technical_device_issue may require account verification or detailed troubleshooting
